*Element, type=B31
1, 1, 2
2, 2, 3
3, 4, 3
4, 5, 4
5, 5, 2
6, 2, 6
7, 1, 6
8, 7, 1
 9, 7, 2
10, 8, 2
11, 9, 8
12, 2, 9
13, 2, 4
14, 10,  4
15, 10, 11
16, 11, 12
17, 12, 13
18, 13, 14
19, 14, 15
20, 15, 16
21, 16, 17
22, 17, 18
23, 18, 19
24, 19, 20
25, 20, 21
26, 21, 22
27, 22, 23
28, 23, 24
29, 24, 25
30, 25, 10
31, 26, 10
32, 26, 27
33, 27, 28
34, 28, 29
35, 29, 30
36, 30, 31
37, 31, 32
38, 32, 33
39, 33, 34
40, 34, 35
41, 35, 36
42, 36, 37
43, 37, 38
44, 38, 39
45, 39, 40
46, 40, 41
47, 41, 26
48, 42, 26
49, 42, 43
50, 43, 44
51, 44, 45
52, 45, 46
53, 46, 47
54, 47, 48
55, 48, 49
56, 49, 50
57, 50, 51
58, 51, 52
59, 52, 53
60, 53, 54
61, 54, 55
62, 55, 56
63, 56, 57
64, 57, 42
65, 58, 42
66, 58, 59
67, 59, 60
68, 60, 61
69, 61, 62
70, 62, 63
71, 63, 64
72, 64, 65
73, 65, 66
74, 66, 67
75, 67, 68
76, 68, 69
77, 69, 70
78, 70, 71
79, 71, 72
80, 72, 73
81, 73, 58
82, 74,  2
83, 75, 74
84, 75,  2
85,  2, 76
86, 77, 76
87,  2, 77
88, 11,  3
89, 78,  5
90, 78,  2
91,  2, 79
92, 74, 79
93, 20,  6
94, 19,  1
95, 76,  7
96, 22,  8
97, 6, 9
98, 27, 11
 99, 28, 12
100, 29, 13
101, 30, 14
102, 31, 15
103, 32, 16
104, 33, 17
105, 34, 18
106, 35, 19
107, 36, 20
108, 37, 21
109, 38, 22
110, 39, 23
111, 40, 24
112, 41, 25
113, 43, 27
114, 44, 28
115, 45, 29
116, 46, 30
117, 47, 31
118, 48, 32
119, 49, 33
120, 50, 34
121, 51, 35
122, 52, 36
123, 53, 37
124, 54, 38
125, 55, 39
126, 56, 40
127, 57, 41
128, 59, 43
129, 60, 44
130, 61, 45
131, 62, 46
132, 63, 47
133, 64, 48
134, 65, 49
135, 66, 50
136, 67, 51
137, 68, 52
138, 69, 53
139, 70, 54
140, 71, 55
141, 72, 56
142, 73, 57
143,  2, 80
144, 13, 74
145,  3, 75
146, 81,  2
147, 79, 81
148, 17, 76
149, 81, 77
150, 25,  5
151, 80, 78
152, 14, 79
153, 18,  7
154,  8, 80
155, 21,  9
156, 12, 75
157, 15, 81
158, 16, 77
159, 23, 80
160, 24, 78
